GEOID20,STATEFP,COUNTYFP,DISTRICT,G18GOVRDUN,G18GOVDBEG,G18GOVLTOI,G18GOVIWAL,G18GOVOWRI,G18HALRYOU,G18HALDGAL,G18HALOWRI
0212230-250,02,122,30-250,1485.9254555541463,626.4786221805794,36.989664686609274,32.94809913716745,8.994620910242036,1449.0226464460115,701.4284085260878,18.9938305901758
0212231-300,02,122,31-300,926,349,32,19,1,865,471,9
0212231-310,02,122,31-310,181.52216011464085,292.5531190006259,8.823278885889463,2.5589260168146577,0.6359107521070599,178.3181535406873,306.4881367167901,0.02139621174098557
0212231-320,02,122,31-320,164.0023827189288,147.0035356474427,9.00010248253457,11.00007686190093,5,177.00263892526522,150.00338192364086,5.000025620633643
0212231-340,02,122,31-340,626.0294787496979,231.73535602737243,19.4723253914556,23.36649809182314,5.84150269882096,621.1631841558113,271.65131654290377,11.683167829821688
0212231-350,02,122,31-350,763.0655202330878,950.4850358760959,34.40195837860712,38.68038857671296,0.40632123498604933,775.9457482393275,997.2257299534215,7.077145091476269
0212231-360,02,122,31-360,555.1147216868386,627.0757357147678,17.289082817946255,19.307246206165907,2.78802768380137,536.0384645234834,672.1680990231242,6.989318296404319
0212231-370,02,122,31-370,424.29759796543283,732.8861094085104,18.485679917557164,26.453439200306477,0.16974032910552092,439.6976336965018,739.1180343066642,3.912140400378426
0212231-380,02,122,31-380,929.2587822014052,597.8360655737705,42.07025761124122,37.08430913348946,13.021077283372366,938.2412177985949,660.980093676815,18.04215456674473
0212231-390,02,122,31-390,530,317,23,17,0,505,377,3
0212232-847,02,122,32-847,108.19376389946915,144.10799517167743,4.492474323895736,3.5924621983292764,0.13877485198006995,118.09475018763325,139.07416615114897,1.2786831646664942
0212232-855,02,122,32-855,5.000012054860756,57.998330487223505,1.9999889504604318,1.1903612903047405e-4,0,27.999607234187984,34.999013058864016,0
0213036-600,02,130,36-600,400.9784111031805,420.97733435022195,26.99854638350592,15.999138597633138,3.9997846494082845,392.978841804364,465.9749116560651,6.999623136464497
0213036-610,02,130,36-610,633,543,32,16,0,588,629,5
0213036-620,02,130,36-620,546,287,14,10,0,485,368,2
0213036-640,02,130,36-640,354.02158889681954,153.02266564977808,10.00145361649408,7.000861402366863,2.153505917156571e-4,350.0211581956361,173.02508834393487,3.768635355024e-4
0213036-650,02,130,36-650,641.5348670021567,338.06613946800866,18.781452192667146,8.89647735442128,0,616.8224299065421,384.5255212077642,2.96549245147376
0213036-660,02,130,36-660,67.92449114983475,85.64392362370468,9.844129152149964,12.797367897794953,0.9844129152149964,71.86214281069473,102.37894318235962,0
0213036-670,02,130,36-670,531.6714661585605,383.16259668309357,23.05182974411009,24.45691660124797,0.41925951691155094,527.9744368611804,430.6641426987522,1.2159360041202238
0215032-800,02,150,32-800,31,48,0,2,0,32,46,0
0215032-810,02,150,32-810,302,279,18,12,2,325,290,2
0215032-815,02,150,32-815,29.024748967731934,23.147525416028742,3.022384421183918,3.0066883039773984,0.0022294346591328427,41.110503342593766,17.090753691735635,0.0022294346591328427
0215032-820,02,150,32-820,391.7120887241327,487.9118365338825,14.726564315725293,34.35976863869216,3.926634506417295,479.0835531884441,447.663324189019,0.9818175810062517
0215032-825,02,150,32-825,342.2974553615501,302.6001542230436,18.01468369273263,25.875541226318823,2.3540005841771796,354.2149838387851,336.11380654832027,5.56361262805807
0215032-830,02,150,32-830,1036.9904559143172,941.488009243074,57.25875199154208,60.764690134989024,0.7193649094055252,1160.7014629727707,934.2228692626607,6.454569790935677
0215032-835,02,150,32-835,10.975476218749538,64.85508674715636,9.977705653408671,2.9933116960226016,0.9977705653408672,48.89075770170249,39.910822613634686,0.9977705653408672
0215032-840,02,150,32-840,24,55,3,0,0,42,32,0
0215032-845,02,150,32-845,41,36,3,1,0,63,20,0
0215838-804,02,158,38-804,0,0,0,0,0,0,0,0
0215838-834,02,158,38-834,32,83,3,3,0,63,60,0
0215838-850,02,158,38-850,27,60,1,12,0,58,42,1
0215839-900,02,158,39-900,37.54770744389104,92.88117104541467,5.928585385877533,7.9047805145033765,0,76.083512452095,70.15492706621747,0
0215839-904,02,158,39-904,55,242,6,16,1,132,183,1
0215839-910,02,158,39-910,48.45229255610896,119.11882895458533,3.0714146141224674,14.095219485496623,4,107.916487547905,78.84507293378253,1
0215839-916,02,158,39-916,62.00000000000001,301,12,28,1,187,212.00000000000003,5.000000000000001
0215839-918,02,158,39-918,34,126,7,17,6,93,95,1
0215839-922,02,158,39-922,37,139,3,14,0,99,91,0
0215839-928,02,158,39-928,16,31,4,2,0,27,27,0
0215839-930,02,158,39-930,36.56848797392817,108.71712640897564,1.9766750256177388,4.941687564044347,0,94.88040122965147,55.346900717296684,0.9883375128088694
0215839-934,02,158,39-934,30.999999999999996,215,2.9999999999999996,16,0,101,163,0
0215839-940,02,158,39-940,36.43151202607183,133.28287359102436,8.02332497438226,8.058312435955653,0,85.11959877034853,99.65309928270331,0.011662487191130493
0216437-708,02,164,37-708,11.962821308219988,21.93183906506998,4.984508878424995,0.996901775684999,0,15.950428410959985,23.925642616439976,0
0216437-716,02,164,37-716,11.773040586389774,15.305955709803737,0.25329151234139624,1,0,20.55924722214513,6.773040586389773,0
0216437-726,02,164,37-726,72.82734361617376,80.91848900341967,2.4872916309796715,7.7309374464695075,0,87.65468723234754,79.30937446469507,0
0216437-728,02,164,37-728,23,63,8,4,0,61,38,0
0216437-730,02,164,37-730,7.855192916145642,33.493511443925655,1.9234363885550372,1.37006357757431,0,17.806816777407896,28.558066517635794,0
0216437-738,02,164,37-738,13.172656383826231,57.08151099658034,3.5127083690203285,5.269062553530493,0,26.345312767652462,52.690625535304925,0
0216437-740,02,164,37-740,4,6,1,4,0,12,3,0
0216437-742,02,164,37-742,26.03717869178001,27.06816093493002,1.0154911215750049,0.003098224315000991,0,29.049571589040017,24.074357383560024,0
0217007-100,02,170,07-100,756,206,26,5,3,724,258,6
0217007-105,02,170,07-105,532,179,6,7,2,538,184,0
0217007-110,02,170,07-110,714,259,18,14,4,664,332,6
0217007-115,02,170,07-115,467.60693960371304,175.42030752242118,14.086369024645881,5.0965501131994975,1.0025004629362,436.5434332191106,223.5730149983382,3.0121707109485163
0217007-120,02,170,07-120,984.393060396287,383.5796924775788,24.91363097535412,22.9034498868005,0.9974995370638,956.4565667808894,438.4269850016618,3.9878292890514837
0217007-125,02,170,07-125,1315.2537764350452,393.6012084592145,22.205438066465256,12.120845921450151,2.0362537764350455,1237.867069486405,482.19335347432025,12.060422960725075
0217007-130,02,170,07-130,634,142,10,6,2,598,191,7.000000000000001
0217008-130,02,170,08-130,410,122,13,3,0,405.00000000000006,141,1
0217008-135,02,170,08-135,1061.7367527689632,252.04286182899045,23.41579478408565,9.03779952582597,1.0944988145649208,1002.0563613040957,336.1390480779435,6.056699288738953
0217008-140,02,170,08-140,1110,272,18,13,5,1043,358,9
0217008-145,02,170,08-145,828,233,7,28,1,799,283,8
0217008-150,02,170,08-150,1115.7771099656236,307.78873658147086,31.47530986729971,13.526896283352357,4.031699215486714,1076.0108813264264,378.2954543618039,7.100750064124908
0217008-155,02,170,08-155,1227.0442444176044,297.9201339038942,36.50823356279275,17.72983307715774,1.9869615606240225,1196.3938302323745,370.986356693629,3.9490452891734114
0217009-622,02,170,09-622,1045.063774452037,393.3419961011323,16.206055155833656,20.184797235288404,2.01576232618007,987.2818906968541,463.37630605829486,17.062362355424632
0217009-628,02,170,09-628,1287.7050697690684,505.88413455213407,43.98992474366383,16.996107287324662,2.999313050704352,1252.7130841775177,589.864899971856,8.997939152113055
0217009-640,02,170,09-640,93.00160350716882,48.00145282422592,1.4155299665790145e-4,1.3022875692526934e-4,0,86.00178503633909,55.00149777985031,1.6986359598948176e-5
0217009-645,02,170,09-645,442.23115577889445,210.77386934673368,12.804020100502512,11.819095477386934,0.9849246231155779,457.00502512562815,211.75879396984925,3.9396984924623117
0217010-005,02,170,10-005,447,165,12,2,0,435,183,5
0217010-010,02,170,10-010,818,235,15,12,2,765,305,3
0217010-015,02,170,10-015,957,321,22,11,0,905,382,18
0217010-020,02,170,10-020,634.2257855556062,165.25765860934362,22.215547187073902,2.282049983693418,4.933175899094605,597.8914969315383,223.8420306936354,3.069932723337009
0217010-025,02,170,10-025,493.41106393850566,135.97836700400003,11.656145706232207,5.827132127139991,0.9716764716961314,469.1284548807551,172.88827561413672,1.9426212676330634
0217010-030,02,170,10-030,489.90724398777076,170.5315104232246,8.87171351650162,12.814229003913843,1.6399530336453887e-5,471.17831517927453,198.13208715010106,1.47595773028085e-4
0217010-035,02,170,10-035,227.82719121389155,321.92913630740463,10.896045168143582,9.905511886381682,2.9716446124763705,203.0636651786845,358.57930048210477,0.9905482041587902
0217010-040,02,170,10-040,222.49445955083684,53.811516031357385,8.38772895217916,0.3558702255880068,0.03673596430450206,206.85658379152645,77.87172840951222,0.02621294940295496
0217010-045,02,170,10-045,919.354379792769,344.5298537218938,26.048811701580597,9.047612499382002,1.0052902777091113,879.4326380460018,406.5620658770044,8.96479268178279
0217010-050,02,170,10-050,259,75,8,6,4,251,95,4
0217010-055,02,170,10-055,453,155,19,6,3,450,177.99999999999997,0.9999999999999999
0217011-055,02,170,11-055,917.000206106504,273.0001282782271,21.00000892102779,7.000006767676252,1.0000009228649436,877.0002014921794,333.00014827363424,9.00000123048659
0217011-060,02,170,11-060,667,298,19,16,4,652,336,8
0217011-065,02,170,11-065,419.3968658066126,149.78459493093305,9.985639662062203,3.994255864824882,0,392.4356387190446,180.7400778833259,4.992819831031102
0217011-070,02,170,11-070,690.3375716884253,426.8803398995734,29.524944231949185,22.498125844466692,3.047180364132143,675.1329571262086,492.793649865401,4.06654932293653
0217011-075,02,170,11-075,648.6565652454738,348.59100910901793,27.728830270035516,13.864415135017758,2.970946100360948,625.8793118093731,403.058354282302,4.951576833934914
0217011-085,02,170,11-085,654.6516778827078,215.94356040887274,19.62601082337469,14.714481999252788,0,635.0012544848388,270.9006988157032,0.9877626932407426
0217011-090,02,170,11-090,436.99999999999994,157,8,3,1,429.99999999999994,174,1
0217011-095,02,170,11-095,758.005656959597,350.5285227131815,13.746216576987509,19.6374522528393,0.9818726126419649,758.9875295722389,371.1478475786628,0.9818726126419649
0217011-099,02,170,11-099,528,258,6,12,3,516,278,6.999999999999999
0217012-200,02,170,12-200,559.9991887640795,142.99979284511315,3.99999420545771,0,0,541.9992148395197,154.99977546148628,6.999989859550992
0217012-205,02,170,12-205,607.109652701945,218.6547153691767,9.812960758122356,14.508347659079798,0.03029711006943938,582.487732512149,254.63583473080868,3.065583661712593
0217012-210,02,170,12-210,1001.7462235649547,294.3987915407855,16.79456193353474,9.879154078549849,2.963746223564955,970.1329305135952,342.80664652567975,4.9395770392749245
0217012-220,02,170,12-220,1445.4314572052108,529.8558867138041,37.08699468970957,30.043497344854785,1.0241651915859915,1429.4024589753076,589.9960448250029,13.009666076634396
0218039-902,02,180,39-902,37,77,4,6,0,57,68,0
0218039-906,02,180,39-906,8,15,2,0,0,14,12,0
0218039-908,02,180,39-908,59.99999999999999,63,3,5,0,87,43,0
0218039-912,02,180,39-912,47,132,4,13,0,109,84,1
0218039-914,02,180,39-914,14.366728509585652,40.627087198515774,0.061224489795918366,6.253555967841682,0,26.117501546072976,34.35312306740878,0
0218039-920,02,180,39-920,84.12547516319877,56.75665391355966,0,1.148288971896563,0.9999999985125325,83.85551318898739,56.07604554705318,0
0218039-924,02,180,39-924,151.10271546635184,208.7603305785124,16.899645808736718,12.923258559622196,1.988193624557261,168.00236127508853,216.71310507674144,2.9822904368358913
0218039-926,02,180,39-926,209.89728453364816,386.23966942148763,18.100354191263282,10.076741440377804,3.011806375442739,279.99763872491144,349.28689492325856,1.0177095631641087
0218039-932,02,180,39-932,73,158,19,7,1,122,135,2
0218039-936,02,180,39-936,40.874524714828894,72.24334600760456,0,2.8517110266159693,0,74.1444866920152,39.92395437262357,0
0218039-938,02,180,39-938,52.62037298501138,154.58859030977482,5.982376325628019,7.924032237913542,0.9985703075809407,80.37831120108345,144.72199347177778,0.9985703075809407
0218039-942,02,180,39-942,17.02247191011236,60.42977528089888,9.362359550561798,5.957865168539326,0,57.02528089887641,32.342696629213485,0.851123595505618
0218039-944,02,180,39-944,44,69,11,9,0,70,62,0
0218039-946,02,180,39-946,19.815050990412136,26.750318837056383,4.953762747603034,0.9907525495206069,0.9907525495206069,25.759566287535776,29.722576485618205,0.9907525495206069
0218039-948,02,180,39-948,92.00009999113698,185.00093991668754,3.9999999999999996,15.000199982273948,0.9999999999999999,149.0006799397314,144.00059994682184,0
0218039-950,02,180,39-950,7.23372382645923,28.687941828823394,5.026459301108592,2.0352790681447894,1.0044098835180986,20.357200564965996,26.64384299364241,0.004409883518098688
0218039-952,02,180,39-952,16.633271490414348,57.37291280148423,2.938775510204082,5.746444032158318,0,33.88249845392703,50.64687693259122,0
0218540-004,02,185,40-004,26.181159420289855,60.1268115942029,1,4,0,47.19927536231884,45.108695652173914,2
0218540-006,02,185,40-006,13,36,3,6,0,39,19,0
0218540-008,02,185,40-008,133,235,10,19,2,191,201,1
0218540-010,02,185,40-010,301,510,18,49,8,453,426,6
0218540-016,02,185,40-016,32.00000138127753,66.00001565447864,2.000000230212921,10.000002532342133,0,67.00000092085169,40.0000184170337,1
0218540-030,02,185,40-030,16.010214811328087,62.02472439375495,5.0001751489756,8.001852689099247,0,55.024511434302426,36.01230548116209,1
0218540-032,02,185,40-032,60,83,1,6,0,94,55,0
0218540-034,02,185,40-034,25.01194875322534,30.018547318439335,4.001248377202647,5.002140075204538,0,35.01979569564198,29.01301879082761,0
0218540-040,02,185,40-040,54,96,15,15,0.9999999999999999,123.99999999999999,56.99999999999999,0
0218840-002,02,188,40-002,21.991461614581226,56.97787781959682,0,3.9984475662874956,0,55.97826592802494,26.9895210724406,0
0218840-012,02,188,40-012,57,63,4,17,0,74,67,1
0218840-014,02,188,40-014,13.33085219811726,45.97314902434541,2.0374016256603547,2.0499361444210624,0.006267259380353803,27.504921946414786,34.91158704896159,0.006267259380353803
0218840-018,02,188,40-018,59.48155339805825,54.74563106796117,1.007766990291262,3.0932038834951454,0,55.84660194174757,63.48155339805825,0
0218840-020,02,188,40-020,35,33,3,12,1,59,24,0
0218840-022,02,188,40-022,14,19,3,1,0,20,20,0
0218840-024,02,188,40-024,313,475,22,32,1,369,476,0
0218840-026,02,188,40-026,66.98637482086534,103.97885046820889,6.998576473821752,11.997559669408718,0,110.97742694203065,72.9851546555697,0
0218840-028,02,188,40-028,109,38,6,9,0,96,69,0
0218840-036,02,188,40-036,61.51844660194175,95.25436893203883,0.9922330097087378,11.906796116504854,0,108.15339805825242,61.51844660194175,0
0218840-038,02,188,40-038,26,55,2,0,0,47,36,0
0219535-700,02,195,35-700,0,0,0,0,0,0,0,0
0219535-730,02,195,35-730,3.902459358065861,13.155064610254273,0.3776573572321801,1.3218007503126303,0.06294289287203002,6.546060858691121,11.707378074197582,0.18882867861609004
0219535-755,02,195,35-755,688.653650254669,686.660441426146,29.898132427843805,41.85738539898132,0,737.4872665534805,693.6366723259763,3.9864176570458407
0219835-705,02,198,35-705,253.0196814463743,208.20454378907002,20.540353795421257,19.606720095232795,0.9336533378682284,260.48893433289317,234.34681761170066,3.734593713793146
0219835-730,02,198,35-730,58.09754064193414,195.84493538974573,5.62234264276782,19.67819924968737,0.93705710712797,97.45393914130888,174.29262192580242,2.81117132138391
0219835-735,02,198,35-735,15.458535416283816,8.183930514503196,0.9093256127225775,4.546628063612887,0,15.458535416283816,10.91190735267093,0
0219835-740,02,198,35-740,231.9803185536257,214.79545621092996,20.459646204578743,22.393279904767205,1.0663466621317716,244.51106566710686,241.65318238829934,1.2654062862068538
0219835-745,02,198,35-745,72,36,0,5,0,74,44,0
0219835-755,02,198,35-755,2.3463497453310698,2.33955857385399,0.10186757215619695,0.1426146010186757,0,2.512733446519525,2.363327674023769,0.013582342954159592
0219835-760,02,198,35-760,11.000000000000002,17,3,2,0,13,17,0
0219835-780,02,198,35-780,191.5414645837162,52.816069485496804,4.0906743872774225,5.453371936387113,0,183.5414645837162,74.08809264732908,0
0219836-670,02,198,36-670,9.91727307545002,6.392952891612409,0.36882420528533133,0.32784373803140565,0,9.527958636537726,7.458445040214477,0.020490233626962853
0219836-675,02,198,36-675,22.998103117373525,99.99175268423272,3.9996701073693086,17.99851548316189,0,36.9969484931661,99.99175268423272,0.9999175268423272
0219836-680,02,198,36-680,193.9537994966245,285.742634649348,19.95409459841816,33.5228789253425,1.5963275678734525,253.81608329187898,268.98119518667676,0.7981637839367263
0222035-765,02,220,35-765,773.140743702519,1102.3490603758496,48.882447021191524,58.858456617353056,3.9904038384646143,776.1335465813675,1211.0875649740103,3.9904038384646143
0222035-770,02,220,35-770,696.859256297481,1205.6509396241504,40.117552978808476,58.141543382646944,3.0095961615353857,724.8664534186325,1271.9124350259897,3.0095961615353857
0223033-540,02,230,33-540,209.99781296916078,485.99493858577205,10.999885441241755,19.999791711348646,0.9999895855674322,219.9977088248351,510.99467822495785,3.999958342269729
0224006-015,02,240,06-015,23.086505190311417,5.290657439446367,0.9619377162629758,0,0,25.01038062283737,5.290657439446367,0
0224006-027,02,240,06-027,30.988505747126435,5.810344827586207,0,0,0,31.95689655172414,5.810344827586207,0
0224006-030,02,240,06-030,78.99979253302956,37.99990020576105,1.9999947476716344,5.999984243014903,0,79.99978990686537,40.999892327268505,0
0224006-053,02,240,06-053,3.8063037036805154,16.172077043631184,0,8.03185859170339e-5,6.023893943777542e-5,8.24554897003569,11.732912095861927,4.015929295851695e-5
0224006-060,02,240,06-060,43.85195739122544,66.87793608683816,5.693733572768536,1.897911190922845,0,70.77826961970082,50.41235763066064,0
0224006-075,02,240,06-075,12,41,0,4,0,27,26,0
0224006-085,02,240,06-085,8.799999999999999,61.599999999999994,0,0,0,24.444444444444443,46.93333333333333,0
0224006-090,02,240,06-090,445,156,20,6,5,406,214,8
0224009-600,02,240,09-600,1181.0135584077605,243.19249657088704,30.000062551321104,14.000510287066568,1.9999758702968937,1130.0458678099656,325.1919317499274,9.000146114456639
0224009-608,02,240,09-608,356.00264304611096,73.0005442883093,5.000067196087567,7.000031358174198,4.47973917114358e-6,347.0025288127621,88.00072795761531,2.0158826270146114e-5
0227536-690,02,275,36-690,648,299,25,45,1,649,356,7
0228232-850,02,282,32-850,0.6593597293894652,1.4835593911262968,0.08241996617368315,0.24725989852104946,0.24725989852104946,1.4011394249526135,1.3187194587789304,0.08241996617368315
0228232-860,02,282,32-860,107,186,8,24,1,112,206,3
0229006-007,02,290,06-007,5.999998618722472,67.99998434552136,0.9999997697870787,10.999997467657867,0,3.999999079148315,79.9999815829663,0
0229006-010,02,290,06-010,10,28,2,2,0,18,25,0
0229006-015,02,290,06-015,27.651610974666887,14.076037371119616,1.2039795128860864,0.145161689219096,0,29.758852965749554,14.345626391342952,0
0229006-023,02,290,06-023,0,0,0,0,0,0,0,0
0229006-024,02,290,06-024,2.5813454384243926,1.422374017090992,0,0,0,2.475984400121356,1.5277350553940283,0
0229006-030,02,290,06-030,2.0746697044135071e-4,9.97942389464725e-5,5.252328365603815e-6,1.5756985096811445e-5,0,2.1009313462415263e-4,1.0767273149487821e-4,0
0229006-033,02,290,06-033,51,234,0,13,0,123,174,0
0229006-050,02,290,06-050,45.25806451612903,16.725806451612904,8.85483870967742,3.935483870967742,0,44.274193548387096,27.548387096774196,0
0229006-054,02,290,06-054,6.741935483870968,64.2741935483871,1.1451612903225805,2.064516129032258,0,17.725806451612904,52.45161290322581,0
0229006-056,02,290,06-056,231.1679099092598,115.42612929121641,10.015782566341349,8,0,236.08899707755307,119.50504212292317,6.999999999999999
0229006-070,02,290,06-070,0,6,0,4,0,5,3,0
0229006-080,02,290,06-080,14.999726405634842,105.99806659981955,0.9999817603756561,5.999890562253937,0,27.999489290518373,94.99826723568734,0.9999817603756561
0229006-095,02,290,06-095,17.07246376811594,74.05072463768116,0,6.000000000000001,0,37.07971014492754,59.04347826086956,0
0229037-300,02,290,37-300,9.201136456151415,29.93736775267086,0.26729171754994485,4.800397759652995,0,19.670473794773905,24.468825933354356,2.000056822807571
0229037-302,02,290,37-302,16.8561797752809,41.26610486891386,3.764232209737828,11.219662921348315,0,37.52153558052434,34.64007490636704,0.0028089887640449437
0229037-304,02,290,37-304,17.00000005542697,61.000000457272485,4,3,2,33.00000022170787,50.00000030484833,3
0229037-306,02,290,37-306,68.03795523782297,41.27128965050375,1.0445367218650907,0.9988097822778857,0,72.10635747027403,39.282815473865426,0
0229037-308,02,290,37-308,12.881109957073267,34.67991142288957,4.954273060412795,0,0,20.80794685373374,35.670766034972125,0
0229037-310,02,290,37-310,3.9999999445730317,32.99999954272751,0,0,0,15.999999778292127,21.999999695151672,0
0229037-312,02,290,37-312,10,5,0,1,0,10,5,0
0229039-314,02,290,39-314,45.656716417910445,123.07462686567165,8.932835820895521,5.955223880597015,0,96.27611940298507,87.34328358208955,0.9925373134328358
0229039-316,02,290,39-316,14.343283704061886,100.92537321316414,2.0671641791044775,4.044776120890453,1.4874674879769005e-9,44.723880716012324,76.65671649823369,1.007462686567164
0229039-318,02,290,39-318,4.978006047728524,46.79325684864813,0,9.956012095457048,0,33.85044112455397,29.868036286371147,0
0229039-320,02,290,39-320,4,25,0,3,0,12,23,0
0229039-322,02,290,39-322,9.021893961134502,89.20580323466432,0,4.043787922269003,0,48.14887893571461,52.131363766807006,0
0229039-324,02,290,39-324,9,43,0,1.9999999999999998,0,27.999999999999996,27,0
0229039-942,02,290,39-942,2.9202118584553265,10.36675209751641,1.6061165221504297,1.0220741504593642,0,9.782709725825343,5.54840253106512,0.14601059292276633
0229040-326,02,290,40-326,1,80,3,1,0,22,60,0
0229040-328,02,290,40-328,9.746376811594203,6.822463768115942,0,0,0,10.721014492753623,5.8478260869565215,0
0229040-330,02,290,40-330,2,55,1,3,0,27,33,0
